"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 19:45:39 MSK 2024","Sat Apr 20 19:45:51 MSK 2024","11426","","","","PopUpMessageTest","PopUpMessageIconTwitterTest","PopUpMessageIconTwitterTest","Проверка Всплывающего Twitter сообщения
"
"broken","Sat Apr 20 22:47:47 MSK 2024","Sat Apr 20 22:48:08 MSK 2024","21706","","","","TestCaseTest","FileUploadTest","FileUploadTest","Проверка Загрузки Файла
"
